ts,0 - 17,18-24,25-34,35-44,45-54,55-64,65+
2016-01-25 17:00:00,8424,4272,7176,3984,2832,1584,2016
2016-01-25 18:00:00,9537,5762,7229,5113,3070,1869,2150
2016-01-25 19:00:00,8312,5666,6249,4462,2698,1571,2063
2016-01-25 20:00:00,8064,5127,5659,5131,3046,1799,1915
2016-01-25 21:00:00,7697,4302,10677,4596,2773,1251,1830
2016-01-25 22:00:00,10503,4774,7413,5387,3632,1657,1485
2016-01-25 23:00:00,8272,4726,5834,4416,2820,1770,1321
2016-01-26 00:00:00,7863,3859,9060,3798,2686,1418,1045
2016-01-26 01:00:00,8402,3995,5880,4319,2463,1284,1095
2016-01-26 02:00:00,8381,4110,5597,3563,2469,994,1037
2016-01-26 03:00:00,5814,3255,8121,2864,1766,594,661
2016-01-26 04:00:00,4887,2617,3550,2530,1352,719,1333
2016-01-26 05:00:00,3439,1902,2463,2704,949,594,591
2016-01-26 06:00:00,2073,1730,1484,1161,509,297,357
2016-01-26 07:00:00,1559,954,1198,645,626,271,590
2016-01-26 08:00:00,1515,780,955,742,660,226,180
2016-01-26 09:00:00,1242,783,1017,584,397,186,163
2016-01-26 10:00:00,1072,599,623,591,289,99,149
2016-01-26 11:00:00,1235,893,795,494,364,165,152
2016-01-26 12:00:00,1139,726,865,610,420,262,237
2016-01-26 13:00:00,1126,690,1101,634,455,239,338
2016-01-26 14:00:00,838,560,912,522,363,163,309
2016-01-26 15:00:00,338,219,266,193,143,86,91
2016-01-26 16:00:00,446,247,315,182,157,75,78
2016-01-26 17:00:00,37,15,25,27,10,10,9
