ts,Female,Male
2016-02-02 02:00:00,10700,20825
2016-02-02 03:00:00,11821,25324
2016-02-02 04:00:00,11629,17220
2016-02-02 05:00:00,8729,11329
2016-02-02 06:00:00,6974,7793
2016-02-02 07:00:00,4942,6483
2016-02-02 08:00:00,4222,3987
2016-02-02 09:00:00,5170,5367
2016-02-02 10:00:00,4643,9147
2016-02-02 11:00:00,4057,5600
2016-02-02 12:00:00,7589,7974
2016-02-02 13:00:00,6818,9147
2016-02-02 14:00:00,7082,9978
2016-02-02 15:00:00,7761,10570
2016-02-02 16:00:00,8672,10244
2016-02-02 17:00:00,7640,10003
2016-02-02 18:00:00,6126,8017
2016-02-02 19:00:00,5427,8010
2016-02-02 20:00:00,4670,6196
2016-02-02 21:00:00,4571,5557
2016-02-02 22:00:00,3057,3922
2016-02-02 23:00:00,2008,2973
2016-02-03 00:00:00,1449,2219
2016-02-03 01:00:00,660,1018
2016-02-03 02:00:00,49,133
